seed,target,AUROC250,0,0.48395922222222226
250,1,0.5797332222222222
250,2,0.5890361111111111
250,3,0.5669844444444444
250,4,0.6716705555555555
250,5,0.5905196666666667
250,6,0.7779278333333333
250,7,0.6053719444444444
250,8,0.6262014444444445
250,9,0.5739708888888889
100,0,0.5094115555555555
100,1,0.5867131666666666
100,2,0.5851928888888889
100,3,0.5319063333333334
100,4,0.7212625555555556
100,5,0.5560016666666667
100,6,0.7644253333333333
100,7,0.6181386666666666
100,8,0.4107908888888889
100,9,0.5946351666666667
50,0,0.6801162222222222
50,1,0.575886888888889
50,2,0.589293111111111
50,3,0.47240944444444444
50,4,0.693585
50,5,0.5860253333333334
50,6,0.7382448888888888
50,7,0.6111789444444445
50,8,0.6690251111111111
50,9,0.5396794444444444
25,0,0.7549942222222222
25,1,0.598713
25,2,0.6023577777777778
25,3,0.6047658333333333
25,4,0.7120556666666668
25,5,0.6014378888888889
25,6,0.7198318888888888
25,7,0.6199622222222223
25,8,0.6819736666666667
25,9,0.537557
42,0,0.7269648888888889
42,1,0.5766373888888889
42,2,0.6138177777777778
42,3,0.5577451111111111
42,4,0.7314871666666667
42,5,0.6152615555555556
42,6,0.7969622222222222
42,7,0.5846764444444446
42,8,0.670676111111111
42,9,0.5745762777777778
100,0,0.5094115555555555
100,1,0.5867131666666666
100,2,0.5851928888888889
100,3,0.5319063333333334
100,4,0.7212625555555556
100,5,0.5560016666666667
100,6,0.7644253333333333
100,7,0.6181386666666666
100,8,0.4107908888888889
100,9,0.5946351666666667
700,0,0.7617435555555556
700,1,0.578909888888889
700,2,0.5928337222222223
700,3,0.5797774444444445
700,4,0.6895304444444443
700,5,0.6169140555555556
700,6,0.7773121666666667
700,7,0.6060961111111112
700,8,0.7127278888888888
700,9,0.556845
300,0,0.7259452222222222
300,1,0.5842217777777778
300,2,0.5860058333333333
300,3,0.5775103333333333
300,4,0.6908427777777778
300,5,0.5995169444444444
300,6,0.7212593333333333
300,7,0.590326
300,8,0.5324945555555555
300,9,0.5811902222222222
